power,frequency,amplitude,phase,I,Q
17.0,5345000000.0,0.13110328313616257,-0.5424002103798,0.11228631436824799,-0.06767462193965912
17.0,5345150273.224044,0.12770122758711627,-0.5456332713288927,0.10915885865688324,-0.06627176702022552
17.0,5345300546.448088,0.1288590172293093,-0.5375946903158739,0.11068253219127655,-0.06598502397537231
17.0,5345450819.672132,0.127449028925559,-0.541212712632006,0.10923459380865097,-0.06565865129232407
17.0,5345601092.896174,0.1294734920135976,-0.5454924745532524,0.11068324744701385,-0.06717591732740402
17.0,5345751366.120218,0.12859953167933616,-0.5454639656327996,0.10993802547454834,-0.06671933829784393
17.0,5345901639.344262,0.12911120271475118,-0.54521950625499,0.11039181798696518,-0.06695781648159027
17.0,5346051912.568306,0.12867357561175405,-0.5437828412075332,0.11011339724063873,-0.06657273322343826
17.0,5346202185.79235,0.12937434839558015,-0.5648702805343236,0.10927708446979523,-0.06925489753484726
17.0,5346352459.016394,0.12781913181367127,-0.5499806087327752,0.10897023975849152,-0.06680731475353241
17.0,5346502732.2404375,0.1275657998002489,-0.5505365576832357,0.108717180788517,-0.06673535704612732
17.0,5346653005.46448,0.12742664242360036,-0.5505391629377248,0.10859841108322144,-0.06666284054517746
17.0,5346803278.688524,0.12695720093524657,-0.5732311724748367,0.10666346549987793,-0.0688551813364029
17.0,5346953551.912568,0.1281394860153191,-0.5827865516634443,0.10698779672384262,-0.07052190601825714
17.0,5347103825.136612,0.12657083140921022,-0.572240844412215,0.1064067855477333,-0.0685402899980545
17.0,5347254098.360656,0.12480866521762234,-0.5947333656375744,0.10337875783443451,-0.06992878764867783
17.0,5347404371.5847,0.12462269207666503,-0.6176285383565031,0.10159915685653687,-0.07216943055391312
17.0,5347554644.8087435,0.12571358607986347,-0.6297653297954534,0.10159741342067719,-0.07403966039419174
17.0,5347704918.032787,0.12421907655913615,-0.6558170059301609,0.09844982624053955,-0.07574965804815292
17.0,5347855191.25683,0.1247306100911376,-0.6623807133703261,0.09835387021303177,-0.07670880854129791
17.0,5348005464.480874,0.12438693754984605,-0.6800432258123731,0.09671650826931,-0.07821781933307648
17.0,5348155737.704918,0.12380835222002179,-0.6789153494886264,0.09635438024997711,-0.07774536311626434
17.0,5348306010.928962,0.12303508617851998,-0.6786848448089889,0.09577038884162903,-0.07723771780729294
17.0,5348456284.153006,0.1239517616631045,-0.6623793226429233,0.09773983061313629,-0.07622968405485153
17.0,5348606557.377049,0.12512310199132232,-0.6443788765350905,0.10003254562616348,-0.07516169548034668
17.0,5348756830.601093,0.1252261735782994,-0.6244203962552708,0.10159625858068466,-0.07321061939001083
17.0,5348907103.825136,0.1246595315999818,-0.6360528220308593,0.10028195381164551,-0.07405085116624832
17.0,5349057377.04918,0.1247987864284428,-0.6070763164080519,0.10249966382980347,-0.07119379192590714
17.0,5349207650.273224,0.12655554451294698,-0.6171902160561713,0.10320703685283661,-0.07324352115392685
17.0,5349357923.497268,0.12475809298482748,-0.6413542011141009,0.09996695071458817,-0.07464040815830231
17.0,5349508196.721312,0.12304120440626763,-0.6637710506751222,0.09691642224788666,-0.07580465078353882
17.0,5349658469.945355,0.12451518771280058,-0.6906128344856546,0.09598325192928314,-0.07931738346815109
17.0,5349808743.169399,0.1237785021969393,-0.700735601715942,0.09461233764886856,-0.07980991899967194
17.0,5349959016.393442,0.12269973840148599,-0.7405781209698369,0.09056205302476883,-0.08278732001781464
17.0,5350109289.617486,0.12252752626899603,-0.7288948979121355,0.09139461815357208,-0.08160893619060516
17.0,5350259562.84153,0.12254350266211957,-0.7293729595038955,0.09136750549077988,-0.08166326582431793
17.0,5350409836.065574,0.12224861461504147,-0.7104301364766096,0.09267440438270569,-0.07972564548254013
17.0,5350560109.289618,0.12332907444381738,-0.6848331043896201,0.09552140533924103,-0.07801103591918945
17.0,5350710382.513661,0.12410562893154102,-0.6751395528789852,0.09687930345535278,-0.07756679505109787
17.0,5350860655.737705,0.12420081050915335,-0.6522816315609622,0.09870249778032303,-0.0753900408744812
17.0,5351010928.961749,0.12171243201571696,-0.6682841084498021,0.09553039073944092,-0.0754179060459137
17.0,5351161202.185792,0.1268289704701545,-0.6899220730162847,0.0978226289153099,-0.08072373270988464
17.0,5351311475.409836,0.12384759342728184,-0.6864846409538886,0.09579350054264069,-0.07849733531475067
17.0,5351461748.63388,0.12500050881250552,-0.6760113210982591,0.0975097194314003,-0.07821113616228104
17.0,5351612021.8579235,0.12356319020370633,-0.6774361445373339,0.09627825021743774,-0.07744908332824707
17.0,5351762295.081967,0.12357201832711917,-0.6891043646299789,0.09537483751773834,-0.07857279479503632
17.0,5351912568.306011,0.12378995401482251,-0.6748291017651932,0.09665689617395401,-0.07733949273824692
17.0,5352062841.530055,0.12255858832398733,-0.6638819404461487,0.09652790427207947,-0.07551801949739456
17.0,5352213114.754098,0.12183316468618893,-0.6699420498470856,0.09549985826015472,-0.075651153922081
17.0,5352363387.978142,0.12287977440507762,-0.6806767497059666,0.09549564868211746,-0.0773305892944336
17.0,5352513661.202186,0.12472138666687059,-0.6869987534130902,0.09642870724201202,-0.07910075038671494
17.0,5352663934.4262295,0.12343479323913334,-0.6997148998753838,0.09443080425262451,-0.07949195802211761
17.0,5352814207.650273,0.12417983300050221,-0.6918231386086967,0.09562893211841583,-0.07921955734491348
17.0,5352964480.874317,0.12358848016190287,-0.6873768261643022,0.0955231562256813,-0.07841835916042328
17.0,5353114754.098361,0.12340342730419858,-0.6871318528608646,0.09539930522441864,-0.0782775729894638
17.0,5353265027.322404,0.1226726177833291,-0.6743193685530489,0.09582351893186569,-0.0765925869345665
17.0,5353415300.546448,0.12190331738466002,-0.6804155344991354,0.0947568342089653,-0.07669133692979813
17.0,5353565573.770492,0.12379132995108971,-0.6882725617333837,0.09560954570770264,-0.07863274216651917
17.0,5353715846.994535,0.12312003837326144,-0.6870112295521426,0.0951896458864212,-0.07808633148670197
17.0,5353866120.218579,0.12167996665141315,-0.6820001520509765,0.09446179866790771,-0.0767006054520607
17.0,5354016393.442623,0.1246767819998563,-0.6793024174841086,0.09699992835521698,-0.07832824438810349
17.0,5354166666.666667,0.12346183895023277,-0.6683466662752572,0.09689868986606598,-0.07650797069072723
17.0,5354316939.890711,0.12485198764259028,-0.6850942331199671,0.09668031334877014,-0.0789995938539505
17.0,5354467213.114754,0.12123598386899628,-0.6719568219706832,0.0948798879981041,-0.0754716545343399
17.0,5354617486.338798,0.12284373987370213,-0.6783717673039501,0.09564558416604996,-0.0770876556634903
17.0,5354767759.562841,0.12412040005348154,-0.6882601980589911,0.0958646759390831,-0.07884058356285095
17.0,5354918032.786885,0.12191463666551947,-0.6862447037181191,0.09431693702936172,-0.07724955677986145
17.0,5355068306.010929,0.12375754595728657,-0.6953414436278362,0.09502537548542023,-0.07928498089313507
17.0,5355218579.234973,0.12322975248072386,-0.6811381678629452,0.09573183953762054,-0.07759501785039902
17.0,5355368852.459017,0.12436278786825497,-0.6737250452840349,0.09718989580869675,-0.07759012281894684
17.0,5355519125.68306,0.12414600474886588,-0.6829534829637084,0.09630157053470612,-0.07834690809249878
17.0,5355669398.907104,0.12241037348371663,-0.7016293820372931,0.09349600225687027,-0.07901137322187424
17.0,5355819672.131147,0.12382853943079447,-0.7025328651963565,0.09450693428516388,-0.08001216500997543
17.0,5355969945.355191,0.12163083086024983,-0.6996969312862615,0.09305213391780853,-0.07832853496074677
17.0,5356120218.579235,0.12306511424097416,-0.6812635835213054,0.09559421986341476,-0.07750333845615387
17.0,5356270491.803279,0.12415343137315682,-0.6790866273503452,0.09660958498716354,-0.07797860354185104
17.0,5356420765.027323,0.12394731694917621,-0.68366028665944,0.09609213471412659,-0.0782894566655159
17.0,5356571038.251366,0.12348273733634893,-0.6870477782133936,0.09546720236539841,-0.07831985503435135
17.0,5356721311.4754095,0.1240962489728344,-0.6629924381350902,0.09780695289373398,-0.07637852430343628
17.0,5356871584.699453,0.12393581870197286,-0.6903441137620002,0.09555785357952118,-0.07892264425754547
17.0,5357021857.923497,0.1256534941876555,-0.66214853222069,0.0990995317697525,-0.07725337147712708
17.0,5357172131.147541,0.12346979766877243,-0.6718255242781265,0.09663817286491394,-0.0768495574593544
17.0,5357322404.371585,0.12392610748384948,-0.6729571343948093,0.09690797328948975,-0.07724328339099884
17.0,5357472677.595629,0.1231617094510864,-0.6442323154825834,0.09847530722618103,-0.0739690512418747
17.0,5357622950.819673,0.12535749166579763,-0.6712054623390262,0.09816400706768036,-0.07796363532543182
17.0,5357773224.0437155,0.12632876584058234,-0.6419910312828124,0.10117735713720322,-0.07564456015825272
17.0,5357923497.267759,0.12444747090010708,-0.6313425317064848,0.10045845806598663,-0.07345250993967056
17.0,5358073770.491803,0.12507226470032437,-0.6499697038834137,0.09957029670476913,-0.07568901777267456
17.0,5358224043.715847,0.12530680845021547,-0.6226716581519821,0.10178963094949722,-0.07307986915111542
17.0,5358374316.939891,0.12684212009115275,-0.6200013329465771,0.10323397070169449,-0.07369986921548843
17.0,5358524590.163935,0.1250580193724468,-0.6370744229541064,0.10052657127380371,-0.07439029961824417
17.0,5358674863.387979,0.1257103718090592,-0.6307786301296477,0.10151974111795425,-0.07414067536592484
17.0,5358825136.612021,0.12603838265468256,-0.6360868495653843,0.10138861835002899,-0.07487337291240692
17.0,5358975409.836065,0.12557013139521173,-0.6199385287065999,0.10220330953598022,-0.07295437902212143
17.0,5359125683.060109,0.12479602695866573,-0.6267869044591953,0.10107433795928955,-0.07319854199886322
17.0,5359275956.284153,0.12388851581956752,-0.6224668501980474,0.100652314722538,-0.07223209738731384
17.0,5359426229.508197,0.1251140312188718,-0.6371431045808107,0.10056648403406143,-0.07443052530288696
17.0,5359576502.732241,0.1253250232308871,-0.6127133708305244,0.10252722352743149,-0.0720730870962143
17.0,5359726775.9562845,0.12490687278522827,-0.6347941173670446,0.10057424008846283,-0.0740712434053421
17.0,5359877049.180327,0.12546100217493145,-0.6084492601378884,0.10294519364833832,-0.07171297073364258
17.0,5360027322.404371,0.12545085258652366,-0.6162740845780112,0.10237262398004532,-0.07251042872667313
17.0,5360177595.628415,0.12404179137643073,-0.6160427375759886,0.10123936086893082,-0.07167257368564606
17.0,5360327868.852459,0.12423418484533924,-0.6221924891163966,0.10095302015542984,-0.07240594178438187
17.0,5360478142.076503,0.1256696011949159,-0.6329517539385361,0.10132551193237305,-0.07433699816465378
17.0,5360628415.300547,0.12534201913844137,-0.6221600240382447,0.10185562074184418,-0.07304830104112625
17.0,5360778688.5245905,0.1275805517222759,-0.6051939012819139,0.10492119938135147,-0.07258332520723343
17.0,5360928961.748634,0.1256539409158895,-0.6144924515417413,0.10266758501529694,-0.07244501262903214
17.0,5361079234.972677,0.1269536840191658,-0.6080309112529139,0.1042003408074379,-0.0725225955247879
17.0,5361229508.196721,0.12673592323903243,-0.5972140360754322,0.10479862987995148,-0.07126879692077637
17.0,5361379781.420765,0.1263367038856254,-0.5895286440361786,0.10501142591238022,-0.07023932784795761
17.0,5361530054.644809,0.12584902669984957,-0.586401062186734,0.10482438653707504,-0.06964068859815598
17.0,5361680327.868853,0.12798966954767727,-0.577861239915841,0.10720834881067276,-0.06991226971149445
17.0,5361830601.092896,0.12673257205438493,-0.5724111688312428,0.1065310686826706,-0.06864602118730545
17.0,5361980874.31694,0.12839538955794905,-0.5641183152680629,0.1085018515586853,-0.0686492845416069
17.0,5362131147.540983,0.12782224015728225,-0.5834390206845371,0.10667699575424194,-0.07041692733764648
17.0,5362281420.765027,0.12888900308323975,-0.5634602714388127,0.10896430909633636,-0.06884151697158813
17.0,5362431693.989071,0.1284823297933324,-0.5625262077910682,0.10868455469608307,-0.06852281838655472
17.0,5362581967.213115,0.12910321999675964,-0.5489678403849747,0.11013325303792953,-0.06736696511507034
17.0,5362732240.437159,0.12879399428130525,-0.5683612115502098,0.10854554176330566,-0.0693235769867897
17.0,5362882513.661202,0.12972402159215218,-0.5527242023621823,0.11040778458118439,-0.06810611486434937
17.0,5363032786.885246,0.13013039571129964,-0.5568407277179538,0.11047147214412689,-0.06877480447292328
17.0,5363183060.109289,0.12963483750425883,-0.5604831614949549,0.10980049520730972,-0.0689132958650589
17.0,5363333333.333333,0.13063973606491383,-0.5635564073112558,0.11043769121170044,-0.06978722661733627
17.0,5363483606.557377,0.12990702597155315,-0.5540994560069573,0.11046963930130005,-0.06835418194532394
17.0,5363633879.781421,0.12725907070237147,-0.5556068211265363,0.10811682790517807,-0.06712393462657928
17.0,5363784153.005465,0.12646802806689342,-0.5412400019434224,0.10839201509952545,-0.06515622138977051
17.0,5363934426.229508,0.12872171884074807,-0.5555363626581896,0.10936424881219864,-0.06788771599531174
17.0,5364084699.453552,0.1287904582073405,-0.5583553178478857,0.10923074185848236,-0.06823215633630753
17.0,5364234972.677596,0.12795032358050806,-0.5507924276210923,0.10902775824069977,-0.06696441769599915
17.0,5364385245.901639,0.13018796670146254,-0.5540609814446316,0.11071117967367172,-0.06849774718284607
17.0,5364535519.125683,0.12673119388765444,-0.5448362232453884,0.10838206112384796,-0.06568199396133423
17.0,5364685792.349727,0.12922060856460513,-0.5475873470428747,0.1103263720870018,-0.06727597862482071
17.0,5364836065.5737705,0.1294640815482467,-0.5566772920221137,0.10991699993610382,-0.06840468943119049
17.0,5364986338.797814,0.1291588422920899,-0.5477993835074132,0.11025937646627426,-0.06726720184087753
17.0,5365136612.021858,0.12945254426646907,-0.5483697653892283,0.11047162860631943,-0.06748318672180176
