frequency,frequency,amplitude,phase,I,Q
5228000000.0,5305000000.0,0.13179004285856652,-0.3604864659348647,0.12331928312778473,-0.04648623242974281
5228000000.0,5305250000.0,0.13172054278382822,-0.35744474395349224,0.12339500337839127,-0.04608659818768501
5228000000.0,5305500000.0,0.1321634275620337,-0.3620002565345129,0.12359795719385147,-0.046805091202259064
5228000000.0,5305750000.0,0.13226159416231933,-0.3619521816916211,0.12369201332330704,-0.046833910048007965
5228000000.0,5306000000.0,0.13230212189801954,-0.35948369546671005,0.1238451823592186,-0.0465426929295063
5228000000.0,5306250000.0,0.13214393394855858,-0.3666050574413491,0.12336292117834091,-0.04736674949526787
5228000000.0,5306500000.0,0.13168849903756022,-0.36397917428698356,0.12306127697229385,-0.04688051715493202
5228000000.0,5306750000.0,0.13229969021420984,-0.3610698958388502,0.12376892566680908,-0.046738218516111374
5228000000.0,5307000000.0,0.13184754969628765,-0.3642844426101316,0.1231955736875534,-0.046974748373031616
5228000000.0,5307250000.0,0.13205379474226872,-0.3636018103013488,0.12342037260532379,-0.04696398973464966
5228000000.0,5307500000.0,0.13192981139030674,-0.3669848314076171,0.12314505875110626,-0.04733676835894585
5228000000.0,5307750000.0,0.13204283889751575,-0.3689620407834605,0.12315664440393448,-0.047620922327041626
5228000000.0,5308000000.0,0.13202449945102698,-0.367668806852481,0.12320101261138916,-0.04745502024888992
5228000000.0,5308250000.0,0.13153224246624326,-0.37221946906121706,0.12252523750066757,-0.047836147248744965
5228000000.0,5308500000.0,0.13154957412176446,-0.3730539094898571,0.1225014179944992,-0.04794468730688095
5228000000.0,5308750000.0,0.13124240776876714,-0.38266630945979985,0.12174995243549347,-0.04900529235601425
5228000000.0,5309000000.0,0.131147298401342,-0.3883685554443629,0.1213805079460144,-0.04966272413730621
5228000000.0,5309250000.0,0.13101955929560352,-0.3988233445518239,0.12073695659637451,-0.05087938904762268
5228000000.0,5309500000.0,0.13052733020823884,-0.4073927679097412,0.11984457820653915,-0.0517171248793602
5228000000.0,5309750000.0,0.12998979788840545,-0.42181741436221376,0.11859571933746338,-0.05322032421827316
5228000000.0,5310000000.0,0.12916636131218287,-0.43400271414585595,0.11719132959842682,-0.05431520193815231
5228000000.0,5310250000.0,0.12950685105888818,-0.44304225007500203,0.1170031800866127,-0.05551828816533089
5228000000.0,5310500000.0,0.12888060433679757,-0.46729142015247666,0.11506353318691254,-0.05805681273341179
5228000000.0,5310750000.0,0.12776172726559926,-0.4867730684757073,0.1129218116402626,-0.05976389721035957
5228000000.0,5311000000.0,0.12795059817038118,-0.5013123232655246,0.11220661550760269,-0.06149008870124817
5228000000.0,5311250000.0,0.12741182465713927,-0.525253277454538,0.11023632436990738,-0.06388838589191437
5228000000.0,5311500000.0,0.1276953636855874,-0.5383882005669577,0.10963109880685806,-0.06547616422176361
5228000000.0,5311750000.0,0.12719374876418896,-0.5587705253405832,0.10784853994846344,-0.0674310177564621
5228000000.0,5312000000.0,0.12701201519572433,-0.5662331027263319,0.10718896239995956,-0.06813646852970123
5228000000.0,5312250000.0,0.12700659900483174,-0.584346443614965,0.10593274980783463,-0.0700637474656105
5228000000.0,5312500000.0,0.1268565521301756,-0.5930299297144948,0.10519593954086304,-0.07089710235595703
5228000000.0,5312750000.0,0.12721655057388745,-0.5996046558129683,0.10502474009990692,-0.07179035246372223
5228000000.0,5313000000.0,0.12703584637129264,-0.6049665184603912,0.10448966920375824,-0.07224967330694199
5228000000.0,5313250000.0,0.12667766991982676,-0.6060638478190518,0.10411594063043594,-0.0721602588891983
5228000000.0,5313500000.0,0.1264662738639169,-0.593641050720448,0.1048290878534317,-0.07074306160211563
5228000000.0,5313750000.0,0.12678219788702097,-0.5986406693453938,0.10473507642745972,-0.0714443102478981
5228000000.0,5314000000.0,0.1271402996655913,-0.5830374187754094,0.10613598674535751,-0.06999862939119339
5228000000.0,5314250000.0,0.12746206703609578,-0.5747373830594323,0.10698338598012924,-0.06929021328687668
5228000000.0,5314500000.0,0.12747313301880092,-0.5471783232916618,0.108861543238163,-0.06632167100906372
5228000000.0,5314750000.0,0.12774793076700336,-0.5317385568963628,0.1101093739271164,-0.06477236747741699
5228000000.0,5315000000.0,0.12793225614930026,-0.5107409581496937,0.11160586774349213,-0.0625363290309906
5228000000.0,5315250000.0,0.12839782761040205,-0.5015827333986596,0.11258212476968765,-0.06173546239733696
5228000000.0,5315500000.0,0.12880670780972817,-0.48037623232923066,0.1142285093665123,-0.05952323600649834
5228000000.0,5315750000.0,0.12925635982341369,-0.4636324771763222,0.11561127752065659,-0.057803452014923096
5228000000.0,5316000000.0,0.12984291134694062,-0.44075876216929294,0.1174335926771164,-0.05539434030652046
5228000000.0,5316250000.0,0.13025342107369317,-0.4355558714533535,0.11809239536523819,-0.054955799132585526
5228000000.0,5316500000.0,0.1298552536915043,-0.4191170063889502,0.11861610412597656,-0.052845120429992676
5228000000.0,5316750000.0,0.1307552444852231,-0.4092042528904731,0.11995979398488998,-0.05202481895685196
5228000000.0,5317000000.0,0.13101061033833666,-0.3951536969297628,0.12091459333896637,-0.050432540476322174
5228000000.0,5317250000.0,0.13149181466889187,-0.3888809578507349,0.1216738373041153,-0.049855537712574005
5228000000.0,5317500000.0,0.13091842849720692,-0.3810513552318083,0.12152819335460663,-0.048688121140003204
5228000000.0,5317750000.0,0.13172333218660126,-0.3770550751897032,0.12247015535831451,-0.048498425632715225
5228000000.0,5318000000.0,0.13188754958157203,-0.3753733318645729,0.12270432710647583,-0.048352599143981934
5228000000.0,5318250000.0,0.13176333343981297,-0.3726470463311601,0.12272000312805176,-0.0479726679623127
5228000000.0,5318500000.0,0.13151448853637368,-0.37287896684938754,0.12247712910175323,-0.04791047424077988
5228000000.0,5318750000.0,0.13223638417225456,-0.36992756802691235,0.12329106032848358,-0.04780978709459305
5228000000.0,5319000000.0,0.1320851687657418,-0.36928192613827404,0.12318088114261627,-0.04767559468746185
