,time,amp,phase
0,2.5000000000000002e-08,23.996721695007942,-0.7775218530402019
1,5.0000000000000004e-08,23.719257384001438,-0.7598943471391273
2,7.500000000000001e-08,23.682744713937154,-0.7519907837843592
3,1.0000000000000001e-07,23.569045520680604,-0.7280684914808346
4,1.2500000000000002e-07,23.457580881697556,-0.7055434926077968
5,1.5000000000000002e-07,23.391294561262526,-0.7000462119672397
6,1.7500000000000002e-07,23.26066644945653,-0.6821366124083353
7,2.0000000000000002e-07,23.33823767337466,-0.6841342756001392
8,2.2500000000000002e-07,23.387730345281877,-0.6973087690906128
9,2.5000000000000004e-07,23.33175961757301,-0.7141978635510009
10,2.75e-07,23.542275262262436,-0.723768626167942
11,3.0000000000000004e-07,23.596074336625456,-0.736100736899657
12,3.25e-07,23.6597520631066,-0.745339924098955
13,3.5000000000000004e-07,23.772874344658767,-0.7557393213287654
14,3.75e-07,23.802002949110445,-0.7610607459301828
15,4.0000000000000003e-07,23.838166252267236,-0.7519951041275226
16,4.25e-07,23.602182674785926,-0.7447975983588073
17,4.5000000000000003e-07,23.646621280878826,-0.7365900524380652
18,4.75e-07,23.486513756441596,-0.7227597340475331
19,5.000000000000001e-07,23.487047713402838,-0.7159945539070769
20,5.250000000000001e-07,23.51779571583631,-0.7107671291047322
21,5.5e-07,23.425437246317053,-0.7060862166038194
22,5.75e-07,23.42929692059244,-0.7114641879508888
23,6.000000000000001e-07,23.33447510793405,-0.7140784483903746
24,6.25e-07,23.423927769627937,-0.7189300531189693
25,6.5e-07,23.489545079660648,-0.7178647359941197
26,6.75e-07,23.460217725302925,-0.7288161483649744
27,7.000000000000001e-07,23.715856351291926,-0.7340862745715344
28,7.25e-07,23.639374372445022,-0.7339240951903628
29,7.5e-07,23.589361780133046,-0.7409945611227148
30,7.750000000000001e-07,23.607913189954843,-0.7411870126197302
31,8.000000000000001e-07,23.426150630374384,-0.732603500645443
32,8.25e-07,23.46239920123874,-0.7430257886260845
33,8.5e-07,23.44406645726879,-0.7256887026698429
34,8.750000000000001e-07,23.49306011039202,-0.7234367821085947
35,9.000000000000001e-07,23.51823630841494,-0.7223183219247922
36,9.25e-07,23.52527710931913,-0.7117002682254803
37,9.5e-07,23.44133921944578,-0.7189907470096641
38,9.75e-07,23.527885246278966,-0.7109685428374772
39,1.0000000000000002e-06,23.504578731180167,-0.7189422413194972
40,1.0250000000000001e-06,23.6116419937421,-0.7172796221428438
41,1.0500000000000001e-06,23.551791834022072,-0.7273750615501667
42,1.075e-06,23.526907942458905,-0.7261603640402488
43,1.1e-06,23.506482617910372,-0.7301944510404337
44,1.125e-06,23.581654206959403,-0.7308692866549713
45,1.15e-06,23.535332650956338,-0.7348426087058673
46,1.175e-06,23.54257333237695,-0.7314466530624196
47,1.2000000000000002e-06,23.600858574203205,-0.7343533290032027
48,1.2250000000000001e-06,23.515746546124966,-0.7310031240521708
49,1.25e-06,23.40401510787143,-0.7258544779284378
50,1.275e-06,23.5284500542778,-0.7195178495036529
51,1.3e-06,23.436665615208106,-0.7221557481178885
52,1.325e-06,23.45526117645555,-0.7148420197223276
53,1.35e-06,23.46108451413191,-0.717411878580496
54,1.3750000000000002e-06,23.481723913774598,-0.721278075011645
55,1.4000000000000001e-06,23.655126151338184,-0.7219256149994906
56,1.4250000000000001e-06,23.54164365588167,-0.7161323642749383
57,1.45e-06,23.553142250367845,-0.7182531984186932
58,1.475e-06,23.61390890506259,-0.7237947223987405
59,1.5e-06,23.586407799896005,-0.7247844363655853
60,1.525e-06,23.600044488235604,-0.7272513123649325
61,1.5500000000000002e-06,23.542902951096607,-0.7264426247421635
62,1.5750000000000002e-06,23.559475991524526,-0.7263560240678224
63,1.6000000000000001e-06,23.52277664627075,-0.7242848456012916
64,1.6250000000000001e-06,23.535036344479206,-0.7234551197323958
65,1.65e-06,23.577409900243634,-0.7273270026831956
66,1.675e-06,23.671578002088285,-0.7194655273366947
67,1.7e-06,23.437144370548825,-0.7133408926527779
68,1.7250000000000002e-06,23.524309021201002,-0.7186196581029942
69,1.7500000000000002e-06,23.540013028722267,-0.7269618777109927
70,1.7750000000000002e-06,23.473530325850206,-0.7229216565855658
71,1.8000000000000001e-06,23.427407639674946,-0.7221916192300551
72,1.825e-06,23.60691166057909,-0.7183760737048009
73,1.85e-06,23.51390280473214,-0.726433130489902
74,1.875e-06,23.398858520174457,-0.723489544135045
75,1.9e-06,23.5551736100594,-0.7285737006184915
76,1.925e-06,23.605727321301057,-0.7233532219525043
77,1.95e-06,23.604051808948956,-0.7225461967231249
78,1.975e-06,23.554566344284048,-0.7315850976788864
79,2.0000000000000003e-06,23.481442550608104,-0.7190395462354604
