,time,amp,phase
0,1.5000000000000002e-08,23.891089595203546,-0.7948002735401491
1,3.0000000000000004e-08,23.910078557735954,-0.792236785907706
2,4.5000000000000006e-08,23.878393016060873,-0.7792887154889436
3,6.000000000000001e-08,23.92500726231796,-0.7729562194258881
4,7.500000000000001e-08,23.857168152703416,-0.7486636496995155
5,9.000000000000001e-08,23.84390861405678,-0.7448947409076587
6,1.05e-07,23.722234563193926,-0.7373912962733274
7,1.2000000000000002e-07,23.746574961715595,-0.7311944928816144
8,1.35e-07,23.744541822965687,-0.7354262313732105
9,1.5000000000000002e-07,23.71830911611658,-0.7394398887313761
10,1.65e-07,23.852718853584854,-0.7491042461536331
11,1.8000000000000002e-07,23.834568679882747,-0.7577057312297145
12,1.95e-07,23.80890504667249,-0.7633948217142137
13,2.1e-07,23.985812737675467,-0.775143339264967
14,2.2500000000000002e-07,23.877097928319053,-0.7766122351102511
15,2.4000000000000003e-07,23.786810628276587,-0.7758322069404058
16,2.55e-07,23.813813323257055,-0.7775772332189539
17,2.7e-07,23.818572846133435,-0.7727810924703128
18,2.85e-07,23.821195859431597,-0.7677785393697139
19,3.0000000000000004e-07,23.966725752451087,-0.7606856030948533
20,3.15e-07,23.863865947552807,-0.7597918195706541
21,3.3e-07,23.92219533406478,-0.7537910268816886
22,3.4500000000000003e-07,23.90006859343826,-0.7471770107166075
23,3.6000000000000005e-07,23.816736784949985,-0.7504507002646202
24,3.75e-07,23.876995420231214,-0.752754678885757
25,3.9e-07,23.726832017485954,-0.7616190710910141
26,4.0500000000000004e-07,23.74768567782206,-0.7604891809250858
27,4.2e-07,23.863447450523786,-0.763396943880622
28,4.35e-07,23.817731016656072,-0.7712888540535157
29,4.5000000000000003e-07,23.908218071252527,-0.7694434997786761
30,4.6500000000000005e-07,23.83157097684716,-0.7699132966934658
31,4.800000000000001e-07,23.896980079704438,-0.7653090822348544
32,4.95e-07,23.916183176582688,-0.7626080846931462
33,5.1e-07,23.845688762476055,-0.7604081961718925
34,5.250000000000001e-07,23.80300746637359,-0.760454823438689
35,5.4e-07,23.79092260455282,-0.7511026668969605
36,5.550000000000001e-07,23.85264142649298,-0.751018923740208
37,5.7e-07,23.858422408989664,-0.7566326893018
38,5.85e-07,23.839453476934246,-0.7513268167473406
39,6.000000000000001e-07,23.94330747107132,-0.7526486018222767
40,6.15e-07,23.862963051934777,-0.7535176320286213
41,6.3e-07,23.898669385928823,-0.7639526569831347
42,6.450000000000001e-07,23.934589781741156,-0.7687174882402715
43,6.6e-07,23.826093294254942,-0.7675002238080743
44,6.75e-07,23.8438927944003,-0.7770753942009567
45,6.900000000000001e-07,23.812173380338955,-0.7705805391708116
46,7.05e-07,23.923735707312872,-0.7669890115270235
47,7.200000000000001e-07,23.8147757360369,-0.7708621784931503
48,7.350000000000001e-07,23.84411497011315,-0.7619586775161691
49,7.5e-07,23.824058589928377,-0.7598799323615509
50,7.650000000000001e-07,23.874062328202548,-0.7583723449435402
51,7.8e-07,23.80533880224498,-0.7560746942634754
52,7.95e-07,23.874390835128107,-0.752071585558769
53,8.100000000000001e-07,23.82504890364754,-0.7517947498600437
54,8.25e-07,23.853026649956096,-0.7588435414876524
55,8.4e-07,23.6964260531217,-0.7528882818645573
56,8.550000000000001e-07,23.831637129888282,-0.7547702301899792
57,8.7e-07,23.686502590999833,-0.7583355219211098
58,8.850000000000001e-07,23.781670975730556,-0.7676466865660674
59,9.000000000000001e-07,23.903654108229578,-0.7670899010981433
60,9.15e-07,23.754535273320904,-0.7674569050457271
61,9.300000000000001e-07,23.940044068695,-0.7636465082177327
62,9.450000000000001e-07,23.81556558806779,-0.759594851829595
63,9.600000000000001e-07,23.833235609643292,-0.7648858633867517
64,9.75e-07,23.896738930167597,-0.7620912178987979
65,9.9e-07,23.812906736294483,-0.7616617760506318
66,1.0050000000000001e-06,23.912637323322258,-0.758436833004809
67,1.02e-06,23.861337799213253,-0.7573503526765154
68,1.035e-06,23.839011384529655,-0.7539424513450924
69,1.0500000000000001e-06,23.685903604355413,-0.7577490928897482
70,1.065e-06,23.785275718704543,-0.7566469034253437
71,1.08e-06,23.84482820494524,-0.7581217762178009
72,1.095e-06,23.881267368411812,-0.7575599247355309
73,1.1100000000000002e-06,23.88087074280846,-0.7664779108854431
74,1.125e-06,23.96136967104267,-0.768283137168629
75,1.14e-06,23.771743822141012,-0.7697582259360314
76,1.1550000000000002e-06,23.866048754973125,-0.7678716477481561
77,1.17e-06,23.84910958582706,-0.7646182130244904
78,1.185e-06,23.817789566420092,-0.768255739502543
79,1.2000000000000002e-06,23.767618461588217,-0.7634376044598196
