current,frequency,amplitude,phase,I,Q
-0.0005576767405674884,5228500000.0,0.18834402313376986,-0.6373125753384569,0.15137167274951935,-0.11207179725170135
-0.0005576767405674884,5228750000.0,0.18716940451691327,-0.6453346025496738,0.149529367685318,-0.11257599294185638
-0.0005576767405674884,5229000000.0,0.19200011391342997,-0.621355844903201,0.15611335635185242,-0.11177058517932892
-0.0005576767405674884,5229250000.0,0.19312069249356795,-0.6707186356565301,0.15128596127033234,-0.12003399431705475
-0.0005576767405674884,5229500000.0,0.1900177853582032,-0.6509662120731831,0.1511588990688324,-0.11514228582382202
-0.0005576767405674884,5229750000.0,0.19590665493281076,-0.6593409164129899,0.15484386682510376,-0.12001164257526398
-0.0005576767405674884,5230000000.0,0.1876944054476235,-0.647714933235251,0.14967964589595795,-0.11324837058782578
-0.0005576767405674884,5230250000.0,0.18874367785686116,-0.6567042765951216,0.14948661625385284,-0.11522988975048065
-0.0005576767405674884,5230500000.0,0.1851692924833794,-0.6448888852656087,0.14798110723495483,-0.1113070473074913
-0.0005576767405674884,5230750000.0,0.19064394984654875,-0.695299885606035,0.14638817310333252,-0.12212951481342316
-0.0005576767405674884,5231000000.0,0.19285575365274066,-0.6708035097866232,0.15106824040412903,-0.11988214403390884
-0.0005576767405674884,5231250000.0,0.19295229393139382,-0.670786230541031,0.15114593505859375,-0.11993954330682755
-0.0005576767405674884,5231500000.0,0.19368789506155282,-0.6780471064578822,0.15084397792816162,-0.12149524688720703
-0.0005576767405674884,5231750000.0,0.19000720787003697,-0.6738548014842379,0.14847582578659058,-0.11856503784656525
-0.0005576767405674884,5232000000.0,0.1877068642180141,-0.6272575160820255,0.15197502076625824,-0.1101701408624649
-0.0005576767405674884,5232250000.0,0.18963216006236228,-0.6399257433140786,0.15211156010627747,-0.11323616653680801
-0.0005576767405674884,5232500000.0,0.19079390398771273,-0.6572823105194375,0.15104305744171143,-0.1165689006447792
-0.0005576767405674884,5232750000.0,0.19318533655527054,-0.6361606303466211,0.15539494156837463,-0.11477363109588623
-0.0005576767405674884,5233000000.0,0.18629681067917236,-0.6311077083257278,0.15041127800941467,-0.10992246866226196
-0.0005576767405674884,5233250000.0,0.19195674781368757,-0.6558466955570317,0.1521318405866623,-0.1170610785484314
-0.0005576767405674884,5233500000.0,0.1908529539715857,-0.6596958685001632,0.1508079320192337,-0.11696930229663849
-0.0005576767405674884,5233750000.0,0.19060231541477465,-0.6454448514114175,0.15225927531719208,-0.11465755850076675
-0.0005576767405674884,5234000000.0,0.18766443374542802,-0.6305525901620691,0.1515769064426422,-0.11064529418945312
-0.0005576767405674884,5234250000.0,0.1893732086455113,-0.646246807489192,0.1511860191822052,-0.11403946578502655
