power,frequency,amplitude,phase,I,Q
17.0,5340000000.0,0.1285367793424407,-0.5958151460599399,0.10638877749443054,-0.07213273644447327
17.0,5340150000.0,0.12851892608127627,-0.5977120171371053,0.1062370017170906,-0.07232436537742615
17.0,5340300000.0,0.12841826911107737,-0.5974677710121414,0.10617144405841827,-0.07224179059267044
17.0,5340450000.0,0.12828853182835603,-0.5901649366328483,0.10658838599920273,-0.07139232009649277
17.0,5340600000.0,0.12974635778614085,-0.5884832207876988,0.10792089253664017,-0.0720222070813179
17.0,5340750000.0,0.12911256150458664,-0.5927863410882177,0.10708431154489517,-0.07213184982538223
17.0,5340900000.0,0.1281342966210456,-0.5920871919326034,0.10632297396659851,-0.07151100039482117
17.0,5341050000.0,0.12823040506758437,-0.5957989549671291,0.10613635927438736,-0.07195908576250076
17.0,5341200000.0,0.12861344972277514,-0.5971734447007777,0.10635410249233246,-0.07232028990983963
17.0,5341350000.0,0.12935577730656753,-0.588897570053604,0.10756625235080719,-0.07184997200965881
17.0,5341500000.0,0.1292041530315004,-0.5912648238935275,0.10726998001337051,-0.07201988995075226
17.0,5341650000.0,0.12802608059532405,-0.5853111371497279,0.1067148894071579,-0.07072912901639938
17.0,5341800000.0,0.12790600782167727,-0.5860857371466165,0.10656003654003143,-0.07074535638093948
17.0,5341950000.0,0.12806232909623927,-0.5897544785051035,0.10642968863248825,-0.07122275978326797
17.0,5342100000.0,0.12876950791669214,-0.5935312751655535,0.10674616694450378,-0.07201973348855972
17.0,5342250000.0,0.12834118887341364,-0.5943911144072751,0.10632934421300888,-0.07187163084745407
17.0,5342400000.0,0.12787943838252214,-0.591782101567269,0.10613326728343964,-0.07133638858795166
17.0,5342550000.0,0.12866205164626418,-0.5889871004261191,0.10698298364877701,-0.07147422432899475
17.0,5342700000.0,0.12883396867265498,-0.5925962069647343,0.10686693340539932,-0.07195588946342468
17.0,5342850000.0,0.12773206564489037,-0.5896906731716989,0.1061597466468811,-0.07103230804204941
17.0,5343000000.0,0.1284787808322526,-0.5981041036829736,0.10617545992136002,-0.07234340906143188
17.0,5343150000.0,0.12782793938579312,-0.5905079879436822,0.10618129372596741,-0.07117243111133575
17.0,5343300000.0,0.12853882173308145,-0.587339941427562,0.10699798911809921,-0.07122962176799774
17.0,5343450000.0,0.1282563116639881,-0.5969832062570739,0.10607249289751053,-0.07209929078817368
17.0,5343600000.0,0.12779143293543263,-0.5944531868948641,0.10586943477392197,-0.07157033681869507
17.0,5343750000.0,0.12804437680783734,-0.5911477223834314,0.10631544888019562,-0.07136096805334091
17.0,5343900000.0,0.12836802201332856,-0.5882390775442035,0.10679180920124054,-0.07123102247714996
17.0,5344050000.0,0.1284985605716047,-0.5944466517984068,0.1064557284116745,-0.07196567207574844
17.0,5344200000.0,0.1281596449467566,-0.5855204724490477,0.10681139677762985,-0.07082527875900269
17.0,5344350000.0,0.12819505809841358,-0.5901832452161997,0.10650941729545593,-0.07134225219488144
17.0,5344500000.0,0.12771836520103405,-0.5911546180132861,0.10604427009820938,-0.07118000835180283
17.0,5344650000.0,0.1286103304445459,-0.5924292684063981,0.10669341683387756,-0.0718131735920906
17.0,5344800000.0,0.12753445394729881,-0.6008635018553415,0.1051965057849884,-0.07210223376750946
17.0,5344950000.0,0.1281267625049924,-0.5993916993399563,0.10579156875610352,-0.07228147238492966
17.0,5345100000.0,0.1283885042674631,-0.6010417975101753,0.10588802397251129,-0.07260395586490631
17.0,5345250000.0,0.12800618208199527,-0.6055631211313541,0.10524433851242065,-0.0728643387556076
17.0,5345400000.0,0.1277556439905989,-0.6010177801681861,0.10536780953407288,-0.07224354147911072
17.0,5345550000.0,0.12794137605195693,-0.5991797765865808,0.1056537926197052,-0.07215449959039688
17.0,5345700000.0,0.12750155021549037,-0.6098219399563112,0.10451939702033997,-0.07302287966012955
